latitude,State,Rack ID,City,longitude,OPIS Truckstop ID,Retail Price,Address,Truckstop Name
36.8512342,VA,185,Austinville,-80.9120233,1934,3.24066666,"I-77, EXIT 24",CIRCLE K #2723710
36.5959685,VA,185,Bristol,-82.1885009,1936,3.399,"I-81, EXIT 10 & US-11",QUICK STOP MARKET #36
37.1046408,VA,65,Dublin,-80.6850558,1940,3.199,"I-81, EXIT 98 & SR-100",7-ELEVEN #40063
36.5854078,VA,65,Lambsburg,-80.7611817,1944,3.589,"I-77, EXIT 1 & SR-620",LOVES TRAVEL STOPS #399
36.5854078,VA,65,Lambsburg,-80.7611817,1944,3.589,"I-77, EXIT 1 & SR-620",LOVES TRAVEL STOP #399
38.2663841,VA,180,King George,-77.1805099,1950,3.399,"I-81, EXIT 205",7-ELEVEN #34515
38.1495947,VA,185,Staunton,-79.072557,1951,3.38566666,"I-81, EXIT 205",CIRCLE K #2723713
38.1347217,VA,180,Gordonsville,-78.1865043,1953,3.699,"I-64, EXIT 136 & US-15",FAS MART #3555
36.7281341,VA,130,Suffolk,-76.5834683,1954,3.03233333,US-58 & CR-645,Joe's Kwik Mart #8409
38.9464989,VA,60,Toms Brook,-78.4391741,1956,3.659,"I-81, EXIT 291",PILOT TRAVEL CENTER #4642
36.9479966,VA,185,Wytheville,-81.0869747,1958,3.41233333,"I-81 & I-77, EXIT 77",SPEEDWAY #4618
44.2602244,VT,170,Montpelier                              ,-72.5750364,1960,3.699,"I-89, EXIT 7",MAPLEWOOD IRVING
38.3325812,KY,255,Grayson,-82.9485023,1962,3.799,"I-64, EXIT 172 & SR-1/SR-7",SUPER QUIK
47.6571934,WA,970,Spokane                                 ,-117.42351,1976,3.989,"I-90, EXIT 276",One9 #963
47.6571934,WA,970,Spokane                                 ,-117.42351,1976,3.959,"I-90, EXIT 276",One9 #963
46.4401007,WA,977,Toledo,-122.8467555,1977,3.839,"I-5, EXIT 57",GEE CEES TRUCK STOP
45.1015011,WI,295,Bloomer,-91.4887197,1983,3.41566666,"US-53, EXIT 110 & SR-40",KWIK TRIP #427
43.9193145,WI,420,Camp Douglas                            ,-90.2681006,1985,3.154,"I-90 & I-94, EXIT 55",Camp Douglas BP
45.07967842747901,WI,360,Marinette,-87.66575676832416,2000,3.399,US-41,RIVER CITY TRAVEL PLAZA
46.6092229,WI,334,Superior,-91.9184477,2002,3.339,US-53/US-2,KWIK TRIP #222
43.65948882191185,WI,444,Sheboygan,-87.7929523188628,2009,3.29066666,"I-43, EXIT 120 & CR-V/CR-OK",KWIK TRIP #139
39.6586918,WV,165,Bruceton Mills,-79.6411594,2020,3.499,"I-68, EXIT 23 & SR-26",BFS FOODS #72
38.411981,WV,255,Huntington,-82.480002,2021,3.499,"I-64, EXIT 15 & US-60",GO MART FOOD STORE #59
26.175429,WV,44,Ivydale                                 ,-80.099384,2022,3.599,"I-79, EXIT 40 & SR-16",GO MART FOOD STORE #86
42.841927,WY,790,Mills                                   ,-106.367935,2029,3.169,"I-25, EXIT 188",HOMAX SERVICE
42.8625625,WY,790,Casper,-106.3789672,2030,3.429,US-26/US-20,GHOST TOWN FUEL STOP
41.19819555719807,WY,795,Cheyenne,-104.79671719552395,2034,3.699,"I-80, EXIT 377 & SR-217/CR-140",TA CHEYENNE TRAVEL CENTER
42.7595708,WY,790,Douglas,-105.382624,2040,3.499,"I-25, EXIT 126 & US-18/20",Fast Stop Travel Centers #1133
41.179678,WY,795,Pine Bluffs,-104.0667789,2041,3.699,"I-80, EXIT 401 & US-30",PINE BLUFFS SINCLAIR
41.672931,WY,795,Wamsutter,-107.979217,2044,3.499,"I-80, EXIT 173",One9 #1251
29.4246002,TX,740,San Antonio,-98.4951405,2074,3.059,"I-10, EXIT 550",STRIPES #40522
